transcript_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
nDi.2.2.2.t07248,155.32709012725252,5.083835720421853,0.7590153901109219,3.4356783463035217e-12,3.427594397253396e-10
nDi.2.2.2.t02333,41.16526381759665,-6.929242565752883,1.0413234554919386,5.118279246505109e-12,4.934965925247059e-10
nDi.2.2.2.t07247,140.74929700823995,5.3165616309035775,0.7965106744165451,5.237581760285793e-12,4.934965925247059e-10
nDi.2.2.2.t10521,61.71539963627017,-9.130629697247215,1.5032924245352501,7.390491238697676e-12,6.775282778827708e-10
nDi.2.2.2.t07783,55.861954323398656,-8.961043342746626,1.4798108577041544,8.806555612402824e-12,7.861009641386941e-10
nDi.2.2.2.t05176,189.21493823424987,6.737588310067166,1.0241188076559897,1.0875651039346624e-11,9.459027775759935e-10
nDi.2.2.2.t00670,109.09264747764209,-4.182542820670065,0.6534965340117638,1.5334560216797676e-11,1.3003707063844427e-9
nDi.2.2.2.t00632,307.917524734467,-3.621839630811579,0.5723276332010847,2.138449224104942e-11,1.7691755532107228e-9
nDi.2.2.2.t07764,64.1501751190596,-11.509141263955359,3.2013745355521364,2.330575626089916e-11,1.8822172675469034e-9
nDi.2.2.2.t04855,465.0013222323084,-3.6404713879309174,0.5798219153627628,2.584269577043104e-11,1.9479649789622686e-9
nDi.2.2.2.t07987,41.44870361931247,-5.912383993485634,0.9442991068098496,2.5154998349434034e-11,1.9479649789622686e-9
nDi.2.2.2.t09795,82.80836958745417,-6.0357182724569025,0.9264323879750214,2.5357978384923386e-11,1.9479649789622686e-9
nDi.2.2.2.t07736,54.07421305405364,-4.972994455954163,0.7952394147410915,3.211774073444814e-11,2.368334273288002e-9
nDi.2.2.2.t00119,46.44509395535743,-7.600884827173526,1.2094692950685304,3.766727995281907e-11,2.7184556085098356e-9
nDi.2.2.2.t07651,52.090204543511426,-5.823045644083785,0.9124285047795198,6.12873728538559e-11,4.330974348339151e-9
nDi.2.2.2.t08880,127.2634303550291,-5.310079346779536,0.8687338919290668,1.3385008297833426e-10,9.265703703316528e-9
nDi.2.2.2.t01220,56.02133442787981,-4.317642058535511,0.7234116745980294,1.5365629850782692e-10,1.0424043290770979e-8
nDi.2.2.2.t02801,131.51318572963217,6.2587877444177025,1.02096390341028,1.9408127376557995e-10,1.2908307462997004e-8
nDi.2.2.2.t03607,46.0938464000876,-7.362328592387473,1.2293894946698145,3.1967514247851874e-10,2.085265544782953e-8
nDi.2.2.2.t02001,105.87882468926335,-4.525995238644132,0.775440397577385,3.317532190285801e-10,2.1232206017829128e-8
nDi.2.2.2.t10881,51.54769486983223,-11.195208406919132,3.2373016257576546,4.863672661184896e-10,3.055106975322068e-8
nDi.2.2.2.t10228,35.35275086688694,-7.895313656075625,1.5056019008423067,6.912412813274739e-10,4.2630735022959845e-8
