transcript_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
Tcan_14421.1,16708.661789364895,7.76080441531619,0.36232899276806757,3.9292388315064037e-103,5.50997161342143e-99
Tcan_18808.1,1671.8895947334356,3.002080989729842,0.28212828336051066,9.962929753323123e-28,6.985508196542507e-24
Tcan_18810.1,4081.6929788495036,2.416652369863892,0.2723691963245251,3.785461149179101e-20,1.7694507231646177e-16
Tcan_18201.1,11127.133608390033,2.4258414720719754,0.27652805360416866,9.174713871812863e-20,3.2164253156107943e-16
Tcan_07721.1,356.90704939008106,2.7574650475519786,0.344359265272246,5.916224984183372e-17,1.6592644590640684e-13
Tcan_18170.1,18212.359347848178,2.25937040952448,0.2905861890975337,3.225031210028095e-16,7.537435443037329e-13
Tcan_09576.1,22391.698797968365,2.212574640779228,0.2964182719280669,5.372905116098121e-15,1.0763464063291993e-11
Tcan_12863.1,497.93466944710434,-3.6389459838524423,0.5028589383717619,2.13446434055391e-14,3.7414491809484354e-11
Tcan_00174.1,3301.5399731706393,2.4783814406912,0.36821405553393194,8.420634421923441e-13,1.3120284055403602e-9
Tcan_12528.1,189.07791743720676,-2.914777568298722,0.44977415964826845,4.452841983184743e-12,5.67656392092724e-9
Tcan_03043.1,13310.585807162097,-3.11755908491662,0.4815244142494582,4.165952129889392e-12,5.67656392092724e-9
Tcan_15439.1,464.2011935040696,-2.789239550664051,0.43584420888811065,7.0645855974851425e-12,8.255556986127846e-9
Tcan_14407.1,593.5742940154479,2.36866825451715,0.3802254484667585,2.241753052953916e-11,2.4181617739671357e-8
Tcan_14010.1,414.0562092542079,2.9487440884289184,0.48220100220467876,4.5291535597711056e-11,4.536594312047872e-8
Tcan_12876.1,403.02518325801725,2.1063686071738235,0.3498579926801281,8.493789116527305e-11,7.940560318737493e-8
Tcan_18165.1,5944.600752876059,1.7013292348579465,0.29210800491579303,2.987848605323904e-10,2.618662562028569e-7
Tcan_18200.1,12957.741925890487,1.9895224293626859,0.3427786027453255,3.5413637606979544e-10,2.921208471545142e-7
Tcan_17834.1,368.4276262900452,-4.150587878855765,0.7243791718593549,4.174420924905609e-10,3.2521058127750756e-7
Tcan_05879.1,39399.92144164445,1.671192786932108,0.29874035753293715,9.065650108806676e-10,6.3563805737898e-7
Tcan_07374.1,1230.5154328786023,1.7205053128794303,0.30526512390603255,8.955488577549972e-10,6.3563805737898e-7
Tcan_15250.1,3298.699389433063,1.6344319967325234,0.29152674922504973,1.0855736318330767e-9,7.249047161521541e-7
